par1,par2,par3,par4,par5,sex,year
-1.223116605965074,0.9318066994193498,-0.0789700621923056,-2.260887628525416,3.0368748632512457,female,1850
-1.2757092889692685,0.9234639531467186,-0.09023122061917513,-2.3235109690218616,3.0140663406534953,female,1851
-1.2827788341869708,0.9301675600736723,-0.10276637561594196,-2.3195552465067544,3.0192171498630147,female,1852
-1.2492175749214467,0.9252018856060971,-0.11156944107975526,-2.407362499457867,3.0091547949261446,female,1853
-1.3304374776134753,0.9606879049629302,-0.14862548696498973,-2.309991259518499,3.1081909450413368,female,1854
-1.2955189056067002,0.9584086321379999,-0.1320773714595477,-2.517016247145076,3.0033298204056056,female,1855
-1.266674119491254,0.9600530049644338,-0.09689031489177785,-2.283083279956422,3.0213380406888373,female,1856
-1.314069022365587,0.9323468333763126,-0.10867445892912272,-2.3318255052908397,3.036408016854283,female,1857
-1.3041055643976707,0.9907594037727536,-0.11351601726175692,-2.4038298647250573,3.0251600075843257,female,1858
-1.345351159240728,1.0839917993498127,-0.12572225989399385,-2.3367294804537977,3.0345132253365827,female,1859
-1.236746325096176,0.9136316136308812,-0.06471369953471719,-2.3323939788905657,3.009272577440494,female,1860
-1.3261106007539667,0.8828796287614917,-0.07292155301199783,-2.3058185551289263,3.018713545327642,female,1861
-1.2678224322724443,0.9540510509624105,-0.06338905588130542,-2.2905119251209616,3.0156571308390863,female,1862
-1.26556912118692,1.0819939785758694,-0.06445781855344565,-2.3092280045561844,3.0107831627891333,female,1863
-1.2838710322114737,0.9578057408570845,-0.08225675566859508,-2.378478168808118,3.0124421444685208,female,1864
-1.3286775277059768,0.8894045262259085,-0.09476893858774271,-2.345331827549019,3.022857642178394,female,1865
-1.2839351439290114,0.9291470011118842,-0.10807373583939037,-2.2944199009123682,3.064631682792956,female,1866
-1.2701941722718024,0.8373299492792898,-0.04086908774555122,-2.3636616197657934,3.0110597913177037,female,1867
-1.315995868670741,0.8752041840282953,-0.06098924445179847,-2.3466792452402356,3.0088818394425045,female,1868
-1.2766182113070672,0.9285628505088674,-0.056801602983350866,-2.322305740085387,3.0234386272434266,female,1869
-1.320552699596624,0.9069085384666757,-0.11132498986936257,-2.4300854283564135,3.0252245818466594,female,1870
-1.3535838352795864,0.9806282312192519,-0.20143222881645317,-2.3949270257781725,3.066197507416965,female,1871
-1.4271179868617443,0.8808773001995853,-0.08980881800649412,-2.294744571324857,3.0199991709015417,female,1872
-1.3929419112019896,0.8684687832859097,-0.0696102456091778,-2.374516710238489,3.0224548316571394,female,1873
-1.331776338370383,1.0132674308196417,-0.05668394105039238,-2.323302254312538,3.043148563015964,female,1874
-1.3402129729361048,1.0259292537570284,-0.07666435341353695,-2.4269526132216415,3.020312975882356,female,1875
-1.2965822234837294,1.0335969814702655,-0.05631088627464111,-2.344397514771022,3.018591005605082,female,1876
-1.2678969794965098,1.0336405653177425,-0.03782655762983912,-2.362257195052976,3.0051051518936696,female,1877
-1.3005608926692926,1.0170726682243403,-0.0350853050875079,-2.3953420541491957,3.0128823583082838,female,1878
-1.3101249180862231,0.9026946783116974,-0.03569647759711156,-2.474801507433174,2.999457732980871,female,1879
-1.3661123386495835,0.8794630825117071,-0.04110506952545987,-2.3707833073790185,3.0239509791330033,female,1880
-1.3096386878521598,0.8921615221673095,-0.03677710294215395,-2.298142984123985,3.02145135402332,female,1881
-1.3452415942382945,0.8650445083608157,-0.03543699852976653,-2.294574748198367,3.017836459392294,female,1882
-1.3324292299836888,0.8343608817986301,-0.04150367661699737,-2.38767777561476,2.9885202135335462,female,1883
-1.3359704967890524,0.8235959312298557,-0.038998344105422855,-2.3339049566723924,2.9973093192476172,female,1884
-1.2614381156388832,1.0053930421495691,-0.014811160562994103,-2.39455697757813,2.985432139210273,female,1885
-1.2755898062827802,1.0116269420594306,-0.023997680312790575,-2.417065457541817,2.9873021199613485,female,1886
-1.2535258431976535,1.0098207694276855,-0.005165907659081772,-2.367909942812881,3.0015711468001722,female,1887
-1.2804039830991858,0.8559723270010239,3.982535314041868e-4,-2.4657025632383567,2.9605057267595756,female,1888
-1.2829186100143959,0.8253933809743617,0.02686900265283153,-2.3691190422087516,2.97996619340754,female,1889
-1.3104693581932825,0.8217869244028861,0.017023074523650518,-2.463200042771991,2.9881449256315182,female,1890
-1.3045511637340743,0.8340082755767821,0.017015101708888668,-2.5567434213927624,2.970137449633749,female,1891
-1.2897335714823044,0.8214614096854587,0.028181573088612157,-2.550629210227422,2.9702966036315255,female,1892
-1.2826820839715187,0.8226734670166204,0.021442779203661968,-2.482301147499556,2.968595099830104,female,1893
-1.2414311251074426,0.8298881986598351,0.0448552910238605,-2.4182155443659,2.965708089834933,female,1894
-1.2792512351697876,0.7569609014731716,0.06350856184839647,-2.4645509680763658,2.9763278161429882,female,1895
-1.2283943282803218,0.7979397184031363,0.07396265262245905,-2.3277969342513467,2.9817640673858268,female,1896
-1.204954585606359,0.7456760487070199,0.08737582004301533,-2.3243359089867397,2.97252355297906,female,1897
-1.231361691313103,0.7340292509899333,0.09423519091608037,-2.35418861923042,2.9822648950525306,female,1898
-1.2258060354487574,0.7420195044238159,0.08381803714328627,-2.4125069720976007,2.9759076232941837,female,1899
-1.231501481545672,0.7544601082006245,0.0815995334865814,-2.4766878674619743,2.982576161615156,female,1900
-1.1909677898864266,0.7530121732644114,0.0981323584445668,-2.3737475795164547,2.9764666668556385,female,1901
-1.1802862222421497,0.7635906647510332,0.10881408693427844,-2.3747592169074814,2.9677379079150485,female,1902
